NAMA,IDPEL,ALAMAT,TARIF,DAYA,KDPT_2,TAGSASI / METER,UNITUP,WILKER,ULP,NOM MCB,X,Y,MERK METER,TYPE METER,NOMOR METER,NAMA GARDU,NO. TIANG,,
PJU DOKO SRAGI,514010666447,PR DOKO SRAGI,P3,580.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.818925,112.043608,,,,EA630,A0,,
P J U PERUM DOKO,514010605928,PR DOKO SRAGI,P3,1410.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.818929,112.043585,,,,EA630,A0,,
PJU TERTIGAAN,514010585429,JL BAGAWANTABARI,P3,500.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.818985,112.053263,,,,EA203,C0,,
PJU GOGORANTE,514010666263,DN GOGORANTE,P3,3360.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.819024,112.053249,,,,EA203,C0,,
PJU KRANGGAN 222,514010778480,JL PROLIMAN,P3,5500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2500.0,-7.819868,112.065878,ADTECH,ADOONAT58,61665,EA222,B1C2,,
PJU SIDOREJO T.298,514061240139,DN SIDOREJO NO 0 SIDOREJO,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.819980,112.154287,MELCOINDA,MS98E,8936471,EF298,A2,,
PJU DS GADUNGAN,514060662622,DS GADUNGAN,P3,2240.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.820353,112.192615,,,,EF241,D0,,
PJ DN JATIREJO GADUNGAN,514060651160,DN JATIREJO,P3,1500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.820364,112.192641,,,,EF241,B0,,
PJU PERUM BUKIT PODANG 1,514111219761,DS BUKIT PODANG RESIDENCE,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.821165,111.9349071,CANNET,DDS137,50904677213,EN230,A2D1,,
PJU BESUK (450),514010619281,DS BESUK,P3,7120.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.821266,112.104472,,,,EA450,A0,,
PJU DS SIDOMULYO,514060760570,DN SIDOMULYO,P3,9880.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.821464,112.179542,,,,EF027,C5,,
PJU BENDO EF027,514060879656,DN KEDIRI,P3,5500.0,1.0,METER,51406.0,KAB,PARE,2500.0,-7.821475,112.179542,METBELOSA,OB91Z,2491397,EF027,C5,,
PJU DS SIDOREJO,514060760505,DN SIDOREJO,P3,9440.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.821574,112.170720,,,,EF049,B0,,
PJU JOHO EN566 B4A10(M),514110794049,DS JOHO SEMEN,P3,5500.0,1.0,METER,51411.0,KAB,GROGOL,2500.0,-7.82165,111.899824,SMARTMETER,SMI 200 S,130272171,EN566,B4A11,,
PJU TUGUREJO,514011029885,DS TUGUREJO,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.821982,112.057448,SMARTMETER,SMI 200 S,162671919,EA242,C2D6C1D2,,
PJU JENGGOLO INDAH (500),514010618940,DS DOKO,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.822039,112.050584,ADTECH,ADOONAT58,25905,EA500,B1,,
PJU DS. GOGORANTE,514010609806,DS GOGORANTE,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.822203,112.052046,ADTECH,ADOONAT58,24687,EA306,C3,,
PJU TEJOSARI,514010585445,JL TEJOSARI,P3,320.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.822507,112.051928,,,,EA032,A0,,
PJU WONOJOYO (223),514010619273,DS WONOJOYO,P3,7700.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,3500.0,-7.822899,112.079304,ADTECH,ADOONAT58,61666,EA448,D3A4,,
PJU BESUK ( 450 ),514011047607,DS BESUK,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.823131,112.103815,SMARTMETER,SMI-200S,172274870,EA450,C5,,
PJ DS SIDOMULYO /27,514060651016,DN SIDOMULYO,P3,4400.0,1.0,METER,51406.0,KAB,PARE,2000.0,-7.823273,112.184569,CANNET,DDS137,50902625214,EF027,A1B14,,
PJU SUMBER - TIRU KIDUL,514010662696,DS TIRU KIDUL,P3,8800.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.823525,112.134773,,,,EA322,A0,,
PJU TIRU KIDUL,514010662647,DS TIRU KIDUL,P3,5120.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.82355,112.134829,,,,EA322,A0,,
PJU KWARASAN,514010666206,DS KWARASAN,P3,2820.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.823576,112.13478,,,,EA322,A0,,
PJU TIRU KIDUL,514010585358,DS TIRU KIDUL,P3,7700.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,3500.0,-7.823579,112.134823,ADTECH,ADOONAT58,61671,EA322,A0,,
PJU DS PAGUNG EN565 (M),514110794023,DS PAGUNG SEMEN,P3,5500.0,1.0,METER,51411.0,KAB,GROGOL,2500.0,-7.824177,111.908764,SMARTMETER,SMI 200 S,130272172,EN565,D11,,
PJU GABRU,514010665819,DN GABRU,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.824488,112.078711,SMARTMETER,SMI 200 S,150036225,EA448,D11C1,,
PJU DS WONOJOYO,514010544653,DS WONOJOYO,P3,500.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.824548,112.07876,,,,EA448,D3,,
PJU DS JOHO EN566 (M),514110794031,DS JOHO SEMEN,P3,5500.0,1.0,METER,51411.0,KAB,GROGOL,2500.0,-7.825388,111.893416,SMARTMETER,SMI 200 S,13272414,EN566,D11,,
PJU DS KEDAK EN053 (A),514110826063,DS KEDAK,P3,640.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.825422,111.94565,,,,EN053,B0,,
PJU DS PAGUNG T 053 (M),514110793970,DS PAGUNG,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.825429,111.945121,SMARTMETER,SMI 200 S,130272164,EN053,D1,,
PJU PERUM BUKIT PODANG 2,514111051365,DS BUKIT PODANG RESIDENCE,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.826002,111.938996,CANNET,DDS137,50904677403,EN256,B11,,
PJU BANYUANNYAR (356),514010619299,DS BANYUANYAR,P3,5940.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.826649,112.087508,,,,EA356,A0,,
P J U BANYUANYAR,514010608966,DS BANYUANYAR,P3,1280.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.826671,112.087479,,,,EA356,A0,,
PJU PAKEM,514010665884,DN PAKEM,P3,400.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.826683,112.087509,,,,EA356,A0,,
PJU TULUNGREJO 21,514060879785,DN LETJEN SUTOYO,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.826735,112.189073,METBELOSA,OB91Z,2491174,EF177,A1,,
PJU BANYUANYAR,514010662639,DN BANYUANYAR,P3,5940.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.826736,112.087466,,,,EA356,A0,,
PJ DS SIDOMULYO / 177,514060651103,DN SIDOMULYO,P3,4240.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.826743,112.189090,,,,EF177,A1,,
PJU JERUK TUGUREJO (404),514010619120,DN JERUK,P3,5500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2500.0,-7.826918,112.059685,ADTECH,ADOONAT58,58975,EA404,D0,,
PJU JERUK,514010666297,DN JERUK,P3,5360.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.826955,112.059796,,,,EA404,B0,,
PJU DS PAGUNG T 003 (M),514110793962,DS GETUK,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.826973,111.911781,SANXING,CSI01,4520037084,EN004,B0,,
PJU DS PAGUNG EN004 (A),514110825996,DS DUWET,P3,1280.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.826984,111.91181,,,,EN004,B0,,
PJU TIRU ( 29 ),514011047623,DS TIRU,P3,5500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2500.0,-7.827225,112.134711,ITRON,SMI-200S,172278440,EA029,C3,,
PJU GONDANG - BANGKOK,514010665835,DN GONDANG,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.827255,112.113329,ADTECH,ADOONAT58,25823,EA585,A1D3A2D3A1D1,,
PJU DS KEDAK,514110675450,DS KEDAK,P3,6400.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.827294,111.956658,,,,EN415,D0,,
PJU DS. GABRU,514010600281,DS GABRU,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.827363,112.084363,SMARTMETER,SMI 200 S,150019496,EA015,D1,,
PJU TRANSAD,514060621745,DN BANDULAN,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.827609,112.192372,MELCOINDA,INDO,94007188,EF178,C1B8C1B1,,
PJU KARANGREJO,514100574649,DS DSKARANGREJO,P3,7700.0,3.0,TAGSASI 375,51410.0,KAB,NGADILUWIH,,-7.827631,112.016486,,,,EM153,D8,,
PJU BALONG (284),514010619112,DS GOGORANTE,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.82816,112.049225,SANXING,CSI01,,EA284,A1D1,,
PJU BALONG,514010666222,DN BALONG,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.828209,112.049282,SANXING,CSI01,4520035099,EA284,A1D1,,
PJU DRANGIN,514010665801,DN DRANGIN,P3,960.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.828294,112.069761,,,,EA622,B0,,
PJU ARGOWILIS SEMEN EN084,514111109445,DS SEMEN,P3,3500.0,1.0,METER,51411.0,KAB,GROGOL,1591.0,-7.828507,111.982744,SMARTMETER,SMI 200 S,172421447,EN084,B8,,
PJU JL ARGOWILIS,514110696634,JL ARGOWILIS SEMEN,P3,3720.0,1.0,METER,51411.0,KAB,GROGOL,1691.0,-7.828836,111.979325,METBELOSA,OB941U,2478307,EN084,D0,,
PJU BABADAN 251 C4,514060879320,DN BABADAN,P3,4400.0,1.0,METER,51406.0,KAB,PARE,2000.0,-7.828998,112.236420,METBELOSA,OB91Z,2491580,EF225,A4,,
PJU BODAG (225),514060646225,DN BODAG,P3,3570.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.829008,112.236432,,,,EF225,A4,,
P J U GONDANG GURAH,514010605936,DN GONDANG,P3,400.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.829076,112.115631,,,,EA585,C0,,
PJU ARGOWILIS SEMEN EN084,514111109333,DS SEMEN,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.829123,111.97664,SMARTMETER,SMI 200 S,172428757,EN084,D9,,
PJU DS. WONOJOYO TENGAH,514010600265,DS WONOJOYO,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.829209,112.077881,ADTECH,ADOONAT58,25819,EA449,A3,,
PJ DS. WONOJOYO (223),514010600311,DS WONOJOYO,P3,5500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2500.0,-7.82924,112.077873,ADTECH,ADOONAT58,61666,EA449,D3A3,,
PJU KLANDERAN,514010662734,DN KLANDERAN,P3,12640.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.829453,112.126311,,,,EA427,D0,,
PJU DS. KLANDERAN,514010600273,DN KLANDERAN,P3,1520.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.829481,112.12648,,,,EA427,B0,,
PJU DS SUMBERAGUNG ( 15 ),514060659678,DN SUMBER AGUNG,P3,9220.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.829764,112.177886,,,,EF015,A3,,
PJU DS PELEM,514060664294,DN PELEM,P3,5360.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.829820,112.235477,,,,EF225,A0,,
PJU DS MANGGIS (148),514060646196,DN MANGGIS,P3,4020.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.830016,112.222428,,,,EF148,D1,,
PJU MANGGIS EF148,514060880759,DS JAMBEAN,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.830016,112.222443,METBELOSA,OB91LU,2491447,EF148,D1,,
PJU TURUS (356),514010782174,DS TURUS,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.8301,112.085704,METBELOSA,OB91LU,2490306,EA324,CC2,,
PJU PAGUNG EN075 (M),514110799958,DS SEKARPUTIH,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.830584,111.903066,SMARTMETER,SMI 200 S,12071228,EN075,D1,,
PJU DS PAGUNG EN075 (A),514110826048,DS SEKARPUTIH,P3,380.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.830647,111.903095,,,,EN075,D1,,
PJU DSN TUGUREJO,514101015125,DN DNDUSUN TUGUREJO,P3,3500.0,1.0,METER,51410.0,KAB,NGADILUWIH,1591.0,-7.830671,112.057294,CANNET,DDS137,50904661761,EM313,AA1B6A4B1,,
PJU TURUS,514010665906,DS TURUS,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.830776,112.089295,CANNET,DDS137,150903407664,EA377,A4D1,,
PJU NGADILUWIH,514100585388,DS DSNGADILUWIH,P3,7700.0,3.0,TAGSASI 375,51410.0,KAB,NGADILUWIH,,-7.831567,112.045006,,,,EM533,1,,
PJU DS SEMEN EN239 (M),514110675419,DS BOBANG,P3,5500.0,1.0,METER,51411.0,KAB,GROGOL,2500.0,-7.831696,111.980457,SMARTMETER,SMI 200 S,150000002,EN239,A4,,
PJU SUMBER AGUNG T15,514060760219,DS SUMBER AGUNG,P3,18640.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.831746,112.177403,,,,EF015,C4,,
PJU CANGGU EF015,514060879672,JL MELATI,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.831761,112.177398,METBELOSA,OB91Z,2491441,EF015,C4,,
PJU DS PUHSARANG EN414,514111109374,DS PUHSARANG,P3,3500.0,1.0,METER,51411.0,KAB,GROGOL,1591.0,-7.831992,111.959766,SMARTMETER,SMI 200 S,172416033,EN414,B1,,
PJU DS KANYORAN,514110675443,DS KANYORAN,P3,9750.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.832067,111.922197,,,,EN592,D1A9,,
PJU BESUK (090),514010619257,DS BESUK,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.832078,112.100055,MELCOINDA,MS 98 E,7603155,EA090,A1,,
PJU KARANGNONGKO 276,514060879927,DN KARANG NONGKO,P3,4400.0,1.0,METER,51406.0,KAB,PARE,2000.0,-7.832104,112.177341,METBELOSA,OB91Z,2490366,EF015,C5,,
PJU TURUS (377),514010619345,DS TURUS,P3,3280.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.832373,112.088812,,,,EA377,C0,,
PJU SEMEN EN239 (M),514110800117,DS ARGOWILIS SEMEN,P3,7700.0,1.0,METER,51411.0,KAB,GROGOL,3500.0,-7.832482,111.980312,SMARTMETER,SMI 200 S,130272180,EN239,A1,,
PJU BESUK,514010662621,DN BESUK,P3,7120.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.83252,112.099773,,,,EA090,A0,,
PJU PERUM WONOJOYO,514011171786,PR WONOJOYO,P3,900.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,409.0,-7.8327626,112.0771059,CANNET,DDS137,50904237018,EA261,C1B3,,
PJU JATIREJO 241,514060879440,DN JATIREJO,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.832802,112.143445,METBELOSA,OB91Z,2490330,EF242,D12,,
PJU DS SEMEN EN239 (A),514110826089,DS SLAMET RIYADI SMN,P3,480.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.832822,111.980225,,,,EN239,A0,,
PJU T 239 SEMEN,514110696626,JL SLAMET RIYADI SMN,P3,2400.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.832825,111.980269,METBELOSA,OB941U,2478324,EN239,A0,,
PJU DN TANGGUNGMULYO 226,514061240346,DN TANGGUNG MULYO NO 0 T MULYO,P3,5500.0,1.0,METER,51406.0,KAB,PARE,2500.0,-7.833043,112.235593,MELCOINDA,MS98E,8798060,EF226,A6,,
PJU DS TITIK EN445 (A),514110826119,DS TITIK,P3,320.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.833445,111.977434,,,,EN445,D0,,
PJU T. 655/414/171,514110616076,DS PUHSARANG,P3,6890.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.833887,111.953424,,,,EN414,D4,,
PJU DS TITIK EN445 (M),514110675484,DS TITIK,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.834482,111.976215,SMARTMETER,SMI 200 S,17492,EN445,D3C4,,
PJU DS WONOREJO (226+189),514060646233,DN TANGGUNG MULYO,P3,10300.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.834774,112.234387,,,,EF226,A0,,
PJU PR DOKO SRAGI (630),514010618965,DS BESUK,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.835309,112.099813,ADTECH,ADOONAT58,58973,EA326,D2,,
PJU KLANDERAN (428),514010584882,DS KLANDERAN,P3,2200.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1000.0,-7.835541,112.12355,METBELOSA,OB941U,1200232,EA428,D12,,
P J U BOGEM,514010608974,DS BOGEM,P3,1300.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.835574,112.100308,,,,EA326,B0,,
PJU BESUK ( 326 ),514010778472,DN GONDANG,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.835656,112.100275,ADTECH,ADOONAT58,25900,EA326,B0,,
PJU DS PAGUNG,514110675435,DS JOHO SEMEN,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.836066,111.925909,SMARTMETER,SMI 200 S,130138327,EN593,B4,,
PJU KEBUNAGUNG,514010665843,DN KEBON AGUNG,P3,3120.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.836125,112.078515,,,,EA225,A0,,
PJU DN TANGGUNGMULYO 226A,514061240379,DN TANGGUNGMULYO NO 0 T MULYO,P3,5500.0,1.0,METER,51406.0,KAB,PARE,2500.0,-7.836153,112.233412,MELCOINDA,MS98E,8798063,EF226,C5,,
PJU SUMBERAGUNG EF055,514060880256,DN BANJARJO,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.836226,112.176692,ITRON,,10105183,EF055,C2,,
PJU MANGGIS (149),514060655591,DN MANGGIS,P3,3770.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.836616,112.225841,,,,EF149,C3,,
PJU SUMBER AGUNG T.223,514061240188,DN SUMBER AGUNG NO 0 SUMBER AGU,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.836630,112.182752,MELCOINDA,MS98E,8936452,EF223,B2,,
PJU WONOJOYO,514010665914,DS WONOJOYO,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.836746,112.078241,ADTECH,ADOONAT58,25820,EA225,C2,,
PJU DOROK 99,514060879751,DS DOROK,P3,7700.0,1.0,METER,51406.0,KAB,PARE,3500.0,-7.836858,112.155579,SMARTMETER,SMI 200 S,162580821,EF243,B2,,
PJU DS BOBANG T 109 (M),514110793996,DS BOBANG,P3,5500.0,1.0,METER,51411.0,KAB,GROGOL,2500.0,-7.837718,111.979489,SMARTMETER,SMI 200 S,130272407,EN109,A1,,
PJU DS BOBANG T. 109,514110696642,DS BOBANG,P3,2720.0,1.0,METER,51411.0,KAB,GROGOL,1236.0,-7.837735,111.979485,SMARTMETER,SMI 200 S,150005789,EN109,A1,,
PJU PUHSARANG EN655 (M),514110800174,DS NGLANGU,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.837766,111.938853,SMARTMETER,SMI 200 S,12071731,EN655,B1,,
PJU DS BOBANG EN362 (M),514110793954,DS BOBANG,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.838502,111.970389,SMARTMETER,SMI 200 S,130272169,EN362,D9C3,,
PJU TEGOWANGI 150,514060879529,DN TEGOWANGI,P3,7700.0,1.0,METER,51406.0,KAB,PARE,3500.0,-7.839000,112.143407,METBELOSA,OB91Z,2490323,EF131,D1,,
PJU DS PUNJUL,514060662544,DN PUNJUL,P3,14000.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.839201,112.143851,,,,EF131,D0,,
PJU DS DONGANTI T167,514060760243,DN DONGANTI,P3,4160.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.839357,112.118191,,,,EF167,D1A17,,
PJU DONGANTI EF167,514060880621,DN DONGANTI,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.839699,112.118028,METBELOSA,OB91LU,2491279,EF167,D1A16,,
PJU MANGGIS EF149,514060880734,JL MANGGIS,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.840287,112.225973,CANNET,DDS137,50902033682,EF149,C12,,
PJU SUMBER AGUNG T.279,514061240034,DN SUMBER AGUNG NO 0 SB AGUNG,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.840514,112.188371,MELCOINDA,MS98E,8798445,EF279,C1,,
PJU PELEM 304,514060879503,DN DR SUTOMO,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.841227,112.141544,METBELOSA,OB91Z,2491298,EF455,D4C8,,
PJU KARANGNONGKO T.276,514061240026,DN KARANGNONGKO NO 0 KARANGNONG,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.841517,112.207404,MELCOINDA,MS98E,8798444,EF425,D2,,
PJU KENCONG 236,514060879338,DN SENOWO,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.841946,112.150036,METBELOSA,OB91Z,2491256,EF288,B1,,
PJU DS BULU EN366 (A),514110826135,DS BULUSAN,P3,4590.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.841996,112.003308,,,,EN368,C5B1C1,,
PJU SIDOMULYO T 077 (M),514110793988,JL RAYA,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.842014,111.992076,SMARTMETER,SMI 200 S,130272167,EN077,C2,,
PJU BOGEM (393),514010619240,DS BOGEM,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.84229,112.092325,ADTECH,ADOONAT58,25898,EA393,A1D5A5,,
PJU DS BANGKOK T65,514060760314,DN BANGKOK,P3,5240.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.842570,112,111086,,,,EF065,B1,,
PJU SUMBERBENDO 285,514060879968,DN SUMBEREJO,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.843357,112.175555,METBELOSA,OB91Z,2491544,EF153,C1,,
PJU DS PUHRUBUH EN278 (M),514110616084,DS PUHSARANG,P3,11000.0,1.0,METER,51411.0,KAB,GROGOL,5000.0,-7.843716,111.977977,SMARTMETER,SMI 200 S,130272170,EN278,D1,,
P J U BOGEM,514010608982,DS BOGEM,P3,960.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.844977,112.09411,,,,EA393,A0,,
PJU BOGEM,514010665798,DS BOGEM,P3,7360.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.844989,112.094143,,,,EA393,A0,,
PJU JATEN,514100844559,DN DNJATEN BLABAK,P3,5500.0,1.0,METER,51410.0,KAB,NGADILUWIH,2500.0,-7.845081,112.0074,ITRON,ACE2000TYPE351,10104940,EM387,C1,,
PJU DS DERMO ( 284 ),514060659757,DS DERMO,P3,1700.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.846488,112.175397,,,,EF284,C0,,
PJU DS BULU SEMEN,514110675427,DN BOGO BULU SEMEN,P3,4640.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.846777,111.990574,,,,EN293,A0,,
PJ PUNJUL,514060176519,JL PUNJUL,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.846853,112.159029,SANXING,CSI01,4520028469,EF016,D1,,
PJU DS SLPGNG EN645 (A),514110826014,DS PLINGSANGAN,P3,640.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.847018,111.930832,,,,EN645,D1,,
PJU DS KANYORAN EN594 (A),514110826127,DS KARANGLO,P3,300.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.847175,111.908739,,,,EN594,B2,,
PJU SIDOMULYO SEMEN,514110675476,DS SIDOMULYO SEMEN,P3,6340.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.847837,111.994009,,,,EN293,A2B10,,
PJU BRENGGOLO EF166,514060880344,DN BRENGGOLO,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.848080,112.122738,METBELOSA,OB91LU,2491276,EF166,D1,,
PJ BRENGGOLO,514060176527,KK BRENGGOLO,P3,350.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.848085,112.122747,,,0,EF166,D1,,
PJU DS PUHRUBUH EN279 (M),514110794007,DS PUHRUBUH,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.848238,111.970286,SMARTMETER,SMI 200 S,1400,EN279,D3,,
PJU BRENGGOLO 1,514060729462,DN BRENGGOLO,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.848512,112.123904,MELCOINDA,MS98E,10064423,EF017,D9,,
PJU TULUNGREJO 299,514060880040,DN KUSUMA BANGSA,P3,5500.0,1.0,METER,51406.0,KAB,PARE,2500.0,-7.848804,112.224021,METBELOSA,OB91Z,2491439,EF229,C1,,
PJU MANGUNREJO,514010662654,DN MANGUNREJO,P3,5040.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.849028,112.100546,,,,EA454,C0,,
PJU MANGUNREJO (454),514010619329,DN MANGUNREJO,P3,5040.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.849058,112.100488,,,,EA454,C0,,
PJU PRANGGANG ( 13 ),514060656082,DN PRANGGANG,P3,4400.0,1.0,METER,51406.0,KAB,PARE,2000.0,-7.849064,112.172964,MELCOINDA,INDO,94005409,EF013,A2,,
PJU DS PETOK,514110675401,DS PETOK MOJO,P3,80.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.849208,111.989968,,,,EN185,A0,,
LAMPU SODIUM,514060072632,JL BRENGGOLO,P3,500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.849290,112.125842,,,,EF017,D4,,
PENERANGAN JLN UMUM,514110551909,JL RAYA JURUSAN MOJO,P3,5700.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.849494,111.990016,,,,EN185,C1,,
